Total Events,Total Deaths,Total Affected,"Total Damage (USD, original)",Cluster
-0.6385648418464714,-0.0886637595474088,-0.1835659294965236,-0.2432489489771614,0
0.9378921114620048,-0.0807497433552297,-0.0181347372139085,-0.2241282971577706,0
-0.2444506035193524,-0.0796082987121269,-0.1341169897929612,-0.2145679712480752,0
-0.6385648418464714,-0.0844784625226987,0.056447250865244,-0.2862704155707909,0
-0.2444506035193524,-0.0881310853806275,-0.1915837200243706,-0.2432489489771614,0
-0.2444506035193524,-0.0864569665707435,-0.1557632869551333,-0.2534466299475033,0
-0.2444506035193524,-0.0886637595474088,-0.1838799237006477,-0.2432489489771614,0
-0.6385648418464714,-0.0821955732364932,-0.1404560695040877,-0.3245117192095726,0
-0.2444506035193524,-0.0713898972817871,-0.1882668345279376,-0.2432489489771614,0
0.5437778731348857,-0.0780102762117831,-0.1765461000559643,-0.3245117192095726,0
-0.6385648418464714,-0.0886637595474088,-0.1918018430473174,-0.2432489489771614,0
0.1496636348077666,-0.0918598045480965,-0.1901527300449202,-0.2432489489771614,0
-0.6385648418464714,-0.0914793230003956,-0.1860868911599619,-0.2432489489771614,0
-0.6385648418464714,-0.0886637595474088,-0.1887133754657697,-0.2432489489771614,0
1.726120588116243,-0.0745859422824748,0.1887037973068143,0.2197895025824205,0
-0.6385648418464714,-0.0896530115714312,-0.1919273120428178,-0.2432489489771614,0
-0.6385648418464714,-0.0886637595474088,-0.1822790680042121,-0.3388522080741157,0
0.1496636348077666,-0.0920119971671769,-0.1898400227022885,-0.2432489489771614,0
-0.2444506035193524,-0.0736727865679926,-0.1813152087464708,-0.2432489489771614,0
-0.2444506035193524,-0.0913271303813152,-0.1894018463641564,-0.2432489489771614,0
0.5437778731348857,-0.0797604913312073,0.077023522696559,-0.2432489489771614,0
0.5437778731348857,-0.0830326326414352,-0.0430869815498289,-0.334134187237681,0
0.9378921114620048,-0.0838696920463772,-0.1013142469231944,-0.2320952354158501,0
-0.6385648418464714,12.517679167808062,0.1509524285683635,6.752678874207631,1
0.5437778731348857,-0.0919359008576367,-0.1639104070629575,-0.2432489489771614,0
-0.6385648418464714,-0.0917076119290162,-0.1835659294965236,-0.2448423366287773,0
0.5437778731348857,-0.0830326326414352,-0.1887017937123389,-0.334868738945076,0
-0.6385648418464714,-0.0917837082385563,-0.1903862954057747,-0.2432489489771614,0
-0.6385648418464714,-0.0886637595474088,-0.1910844177653537,-0.2432489489771614,0
-0.6385648418464714,-0.0886637595474088,-0.1835659294965236,-0.2432489489771614,0
-0.2444506035193524,-0.0223838739379087,-0.1237288003962764,-0.2432489489771614,0
-0.6385648418464714,-0.0886637595474088,-0.1752013297964988,-0.2432489489771614,0
0.1496636348077666,-0.0803692618075288,-0.1785536039839703,-0.2432489489771614,0
-0.2444506035193524,-0.0793039134739662,-0.191924094889087,-0.3324786574676521,0
